country,lifeExp,gdp,bmi,alc,edu,adultMort,incomeComp,totExp
Armenia,73.0,1191.96192,48.4,3.81,10.9,132.0,0.668,5.5
Armenia,72.7,93.1661567,48.1,3.03,10.8,134.0,0.657,5.56
Armenia,72.6,783.261699,47.8,2.86,10.8,134.0,0.645,5.4
Armenia,72.6,694.435119,47.4,2.86,11.1,141.0,0.644,5.94
Armenia,72.0,622.7427477,47.1,2.9,11.2,142.0,0.639,6.25
Australia,82.8,56554.3876,66.6,,20.4,59.0,0.937,
Australia,82.7,62214.6912,66.1,9.71,20.4,6.0,0.936,9.42
Australia,82.5,67792.3386,65.5,9.87,20.3,61.0,0.933,9.36
Australia,82.3,67677.63477,65.0,10.03,20.1,61.0,0.93,9.36
Australia,82.0,62245.129,64.4,10.3,19.8,63.0,0.927,9.2
Australia,81.9,51874.848,63.9,10.52,19.5,64.0,0.927,9.2
Australia,81.7,42742.99898,63.4,10.62,19.1,66.0,0.925,9.5
Australia,81.3,49664.6854,62.9,10.76,19.1,66.0,0.921,8.78
Australia,81.3,4991.98289,62.5,10.56,19.0,66.0,0.918,8.53
Australia,81.2,36118.28381,62.0,10.31,20.3,66.0,0.915,8.49
Australia,81.0,3416.71483,61.5,10.3,20.3,67.0,0.91,8.45
Australia,86.0,3472.37977,6.9,9.84,20.7,69.0,0.908,8.57
Australia,83.0,23465.38559,6.3,9.97,20.6,71.0,0.905,8.32
Australia,79.9,281.81763,59.6,9.84,20.1,73.0,0.902,8.39
Australia,79.9,19517.84168,59.0,9.53,20.5,75.0,0.899,8.18
Australia,79.5,2169.921,58.2,10.17,20.4,78.0,0.897,8.8
Austria,81.5,43665.947,57.6,,15.9,65.0,0.892,
Austria,81.4,51322.63997,57.1,12.32,15.9,66.0,0.892,11.21
Austria,81.1,554.71532,56.6,11.82,15.7,68.0,0.887,11.14
Austria,88.0,48333.57273,56.1,12.26,15.7,7.0,0.884,11.17
Austria,88.0,51126.74139,55.7,12.04,15.7,73.0,0.88,1.94
Austria,84.0,46657.629,55.2,12.1,15.4,75.0,0.872,11.17
Austria,82.0,47654.18721,54.7,11.3,15.3,77.0,0.87,11.19
Austria,84.0,51386.37665,54.2,12.0,15.1,76.0,0.864,1.6
Austria,81.0,46586.6525,53.7,12.5,15.2,8.0,0.86,1.4
Austria,79.8,443.99361,53.2,12.4,15.0,81.0,0.854,1.35
Austria,79.4,38242.4252,52.7,12.4,14.9,85.0,0.848,1.53
Austria,79.3,36693.4262,52.2,12.1,14.7,86.0,0.841,1.56
Austria,78.8,3212.9355,51.7,12.2,14.7,88.0,0.837,1.48
Austria,78.7,26351.37568,51.2,12.5,16.1,9.0,0.847,1.27
Austria,78.6,24489.73553,5.6,12.4,15.5,92.0,0.837,1.12
Austria,78.1,24517.26745,5.1,13.2,15.4,96.0,0.833,1.6
Azerbaijan,72.7,55.31382,52.5,,12.7,118.0,0.758,
Azerbaijan,72.5,7891.299776,51.5,0.01,12.2,119.0,0.752,6.4
Azerbaijan,72.2,7875.756953,5.6,2.14,11.9,121.0,0.745,5.54
Azerbaijan,71.9,7496.335728,49.7,0.01,11.8,123.0,0.742,5.37
Azerbaijan,71.6,7189.691229,48.8,1.98,11.7,125.0,0.741,5.1
Azerbaijan,71.1,5842.85784,48.0,1.98,11.7,13.0,0.737,5.33
Azerbaijan,78.0,495.294791,47.3,2.1,11.6,132.0,0.728,5.85
Azerbaijan,73.0,5574.6382,46.6,1.18,11.6,141.0,0.719,4.37
Azerbaijan,73.0,3851.437869,45.9,1.02,11.6,14.0,0.708,5.1
Azerbaijan,69.2,2473.85776,45.3,0.85,10.7,154.0,0.682,6.17
Azerbaijan,68.4,1578.4239,44.7,0.73,11.2,162.0,0.675,7.86
Azerbaijan,68.4,145.2163,44.2,0.62,11.0,154.0,0.668,7.92
Azerbaijan,67.8,883.6439965,43.6,0.55,10.8,154.0,0.659,6.56
Azerbaijan,67.8,763.73858,43.1,0.55,10.6,146.0,0.651,4.47
Azerbaijan,67.5,73.6838434,42.6,0.51,10.4,151.0,0.642,4.48
Azerbaijan,66.6,655.974326,42.1,0.65,10.1,16.0,0.636,4.67
Bahamas,76.1,,64.5,,12.6,147.0,0.79,
Bahamas,75.4,,63.8,9.45,12.6,16.0,0.789,7.74
Bahamas,74.8,,63.2,9.42,12.6,172.0,0.79,7.5
Bahamas,74.9,,62.6,9.5,12.6,167.0,0.789,7.43
Bahamas,75.0,,62.0,9.34,12.6,162.0,0.788,7.63
Bahamas,75.0,,61.3,9.19,12.6,161.0,0.788,7.44
Bahamas,74.6,,6.7,9.29,12.6,168.0,0.791,7.43
Bahamas,74.5,,6.1,10.15,12.6,167.0,0.791,7.3
Bahamas,74.4,,59.4,10.75,12.5,167.0,0.79,7.8
Bahamas,74.2,,58.7,11.07,12.4,171.0,0.788,6.93
Bahamas,74.1,,58.1,10.49,12.4,172.0,0.786,5.95
Bahamas,73.8,,57.4,10.1,12.3,174.0,0.784,6.2
Bahamas,73.2,,56.7,10.68,12.2,189.0,0.783,5.62
Bahamas,73.1,,56.0,10.85,12.1,19.0,0.781,5.26
Bahamas,72.9,,55.2,11.64,12.1,189.0,0.779,5.15
Bahamas,72.6,,54.4,12.15,12.0,192.0,0.0,5.21
Bahrain,76.9,22688.87824,63.6,,14.5,69.0,0.823,
Bahrain,76.8,24983.3792,62.9,1.57,14.5,7.0,0.82,4.98
Bahrain,76.7,251.18329,62.2,1.65,14.5,7.0,0.815,4.69
Bahrain,76.5,23649.36661,61.5,1.7,14.5,71.0,0.812,4.37
Bahrain,76.1,2281.1242,6.8,1.66,14.4,76.0,0.812,3.4
Bahrain,76.1,2722.1389,6.1,1.93,14.4,73.0,0.81,3.64
Bahrain,76.0,19356.67236,59.3,1.95,14.4,74.0,0.814,3.79
Bahrain,75.8,2367.56535,58.5,2.0,14.4,76.0,0.815,3.17
Bahrain,75.6,2977.1153,57.6,2.0,14.4,77.0,0.813,3.8
Bahrain,75.5,1937.99549,56.8,2.1,14.2,79.0,0.81,3.8
Bahrain,75.3,17959.17854,56.1,2.05,14.0,81.0,0.806,3.16
Bahrain,75.2,15846.47641,55.6,2.16,13.9,83.0,0.803,3.37
Bahrain,75.0,14221.99259,55.2,2.16,13.7,85.0,0.798,3.74
Bahrain,74.9,1312.33457,55.0,1.99,13.5,87.0,0.796,3.89
Bahrain,74.7,12868.211,54.8,1.95,13.3,9.0,0.794,3.8
Bahrain,74.5,13636.34668,54.5,2.15,13.2,92.0,0.786,3.51
Bangladesh,71.8,121.15812,18.3,,10.2,129.0,0.575,
Bangladesh,71.4,184.56543,17.7,0.01,10.0,132.0,0.57,2.82
Bangladesh,71.0,951.8894535,17.0,0.01,10.0,135.0,0.565,2.88
Bangladesh,77.0,856.342857,16.4,0.01,9.9,137.0,0.557,3.8
Bangladesh,73.0,835.789341,15.8,0.01,9.4,14.0,0.545,3.16
Bangladesh,69.9,757.6717572,15.2,0.01,8.9,142.0,0.535,3.6
Bangladesh,69.5,681.125368,14.6,0.01,8.4,144.0,0.523,2.91
Bangladesh,69.1,615.7775411,14.0,0.01,8.6,147.0,0.52,2.85
Bangladesh,68.6,541.651484,13.5,0.01,8.6,151.0,0.513,2.8
Bangladesh,68.2,494.51466,13.0,0.01,8.4,152.0,0.506,2.8
Bangladesh,67.8,484.155471,12.5,0.01,8.2,155.0,0.499,2.68
Bangladesh,67.3,46.7579167,12.0,0.01,8.1,158.0,0.491,2.62
Bangladesh,66.8,432.7388972,11.6,0.01,7.9,161.0,0.484,2.51
Bangladesh,66.3,4.6135745,11.2,0.01,7.7,164.0,0.476,2.59
Bangladesh,65.8,42.5981152,1.8,0.01,7.5,168.0,0.468,2.47
Bangladesh,65.3,45.63371,1.4,0.01,7.3,173.0,0.459,2.33
Barbados,75.5,15557.8381,54.5,,15.3,98.0,0.794,
Barbados,75.4,15359.66971,53.7,8.82,15.3,1.0,0.793,7.47
Barbados,75.2,15472.7814,53.0,8.74,15.3,11.0,0.792,7.57
Barbados,75.1,15384.8749,52.2,8.61,15.3,12.0,0.785,7.43
Barbados,74.9,15534.1574,51.4,8.51,15.5,14.0,0.78,6.67
Barbados,74.7,1595.91232,5.7,8.41,15.8,16.0,0.781,6.17
Barbados,74.6,16523.32388,49.9,8.46,15.5,19.0,0.779,6.21
Barbados,74.4,1657.3228,49.2,8.95,15.3,111.0,0.775,6.1
Barbados,74.2,16462.48556,48.4,8.47,15.0,113.0,0.771,5.64
Barbados,74.1,15646.5591,47.7,8.39,14.8,115.0,0.766,5.27
Barbados,73.9,14223.86576,46.9,8.01,14.6,117.0,0.761,5.38
Barbados,73.8,12868.8639,46.2,7.68,14.4,119.0,0.757,5.71
Barbados,73.7,1228.5447,45.4,7.65,14.2,121.0,0.753,5.82
Barbados,73.5,11675.39395,44.6,7.59,14.0,123.0,0.749,5.76
Barbados,73.4,11513.87189,43.8,7.38,14.0,125.0,0.75,5.47
Barbados,73.3,11568.1111,43.0,7.43,14.0,127.0,0.741,5.16
Belarus,72.3,5949.11677,62.3,,15.6,196.0,0.798,
Belarus,72.0,8318.429294,61.7,13.94,15.7,199.0,0.796,5.69
Belarus,71.7,7978.825443,61.1,14.66,15.7,23.0,0.796,6.7
Belarus,71.9,694.243915,6.5,16.35,15.6,194.0,0.793,5.1
Belarus,72.0,6519.71753,59.9,17.31,15.5,232.0,0.787,4.92
Belarus,73.0,63.38877,59.3,14.44,15.5,222.0,0.78,5.55
Belarus,70.0,5176.172649,58.7,14.09,15.4,226.0,0.771,6.9
Belarus,70.0,6376.183153,58.2,14.67,15.1,224.0,0.755,5.95
Belarus,69.8,4735.484827,57.7,14.22,14.9,226.0,0.739,6.44
Belarus,68.9,3848.215966,57.2,12.6,14.6,243.0,0.723,6.34
Belarus,68.1,3126.71767,56.7,11.01,14.4,252.0,0.713,6.89
Belarus,68.2,2378.33927,56.2,12.05,14.1,247.0,0.703,6.59
Belarus,67.7,1819.525644,55.8,11.17,13.9,253.0,0.695,6.59
Belarus,67.2,1479.383142,55.3,12.23,13.6,262.0,0.687,6.47
Belarus,67.7,1244.373185,54.9,10.74,13.3,254.0,0.681,6.62
Belarus,68.0,1276.28834,54.4,12.98,13.1,247.0,0.675,6.13
Belgium,81.1,4356.875,63.7,,16.6,74.0,0.895,
Belgium,89.0,47439.39684,63.4,12.6,16.3,76.0,0.89,1.59
Belgium,87.0,4651.38647,63.0,11.77,16.3,77.0,0.889,1.57
Belgium,83.0,4474.5717,62.6,10.08,16.2,78.0,0.886,1.54
Belgium,83.0,4772.77415,62.3,10.11,16.1,8.0,0.884,1.42
Belgium,80.0,4438.23741,61.9,10.22,15.9,81.0,0.878,1.17
Belgium,79.8,4488.5615,61.6,10.05,15.8,85.0,0.876,1.39
Belgium,79.5,48424.58927,61.3,10.47,15.8,87.0,0.874,9.6
Belgium,79.5,4443.83131,6.9,10.25,15.8,86.0,0.871,9.25
Belgium,79.4,38852.3613,6.6,10.98,15.7,85.0,0.865,9.17
Belgium,78.9,36967.28292,6.2,12.27,15.7,89.0,0.861,9.24
Belgium,78.8,35589.71295,59.8,12.05,18.8,91.0,0.88,9.32
Belgium,78.3,3743.95693,59.4,11.28,18.6,95.0,0.878,9.3
Belgium,78.0,2552.3328,59.0,11.29,18.8,99.0,0.875,8.46
Belgium,78.0,23121.56635,58.5,11.01,18.2,1.0,0.873,8.29
Belgium,77.6,2327.4591,58.1,11.21,18.0,11.0,0.869,8.12
Belize,71.0,4849.997495,5.9,,12.8,175.0,0.706,
Belize,70.0,4852.223666,5.1,6.58,12.8,177.0,0.705,5.79
Belize,69.8,4688.538443,49.3,6.56,12.9,18.0,0.706,5.79
Belize,69.4,4673.63848,48.5,6.66,12.5,189.0,0.702,5.45
Belize,69.4,4516.24675,47.8,6.64,12.4,188.0,0.7,5.61
Belize,69.5,4344.15177,47.0,6.76,12.4,186.0,0.7,5.85
Belize,69.5,4258.788611,46.3,6.85,12.7,184.0,0.7,5.81
Belize,69.6,447.22796,45.7,7.22,12.8,181.0,0.699,5.9
Belize,69.6,4324.876427,45.0,7.24,12.8,181.0,0.7,4.76
Belize,69.4,4187.3783,44.4,6.48,12.3,184.0,0.692,4.4
Belize,69.0,3933.332215,43.8,6.25,12.8,191.0,0.695,4.45
Belize,68.7,3831.53819,43.2,6.2,12.5,197.0,0.691,4.39
Belize,68.4,3679.99523,42.6,5.67,12.2,21.0,0.684,4.53
Belize,68.5,3556.561825,42.0,4.99,11.9,199.0,0.678,4.38
Belize,68.2,3419.275719,41.4,4.9,11.8,21.0,0.677,4.5
Belize,68.3,3364.423711,4.8,4.79,11.7,196.0,0.668,3.98
Benin,60.0,783.94791,25.7,,10.7,249.0,0.481,
Benin,59.7,943.686575,25.2,0.01,10.7,252.0,0.475,4.59
Benin,59.5,915.2674586,24.6,0.01,10.3,251.0,0.466,4.59
Benin,59.3,837.9551,24.1,0.01,10.0,251.0,0.458,4.86
Benin,59.1,825.9427854,23.5,1.4,9.8,251.0,0.454,5.37
Benin,58.7,757.695974,23.0,1.33,9.5,254.0,0.451,4.95
Benin,58.4,793.45243,22.5,1.16,9.3,259.0,0.448,4.46
Benin,57.6,82.1513498,22.0,1.28,9.1,278.0,0.444,4.2
Benin,57.1,76.535419,21.5,1.12,8.9,283.0,0.438,4.55
Benin,56.8,625.8392,21.0,1.19,8.7,284.0,0.434,4.75
Benin,56.5,61.799977,2.5,1.13,8.5,285.0,0.43,4.73
Benin,56.1,583.493514,2.1,1.15,8.1,285.0,0.423,4.56
Benin,55.8,519.2922847,19.7,1.35,7.7,285.0,0.416,4.63
Benin,55.6,418.6985763,19.2,1.23,7.3,283.0,0.407,4.27
Benin,55.5,378.73654,18.8,1.29,6.6,281.0,0.395,4.69
Benin,55.4,374.1923942,18.4,1.34,6.4,279.0,0.389,4.34
Bhutan,69.8,2613.645177,24.5,,12.5,211.0,0.604,
Bhutan,69.4,2522.7968,23.6,0.01,12.5,216.0,0.596,3.57
Bhutan,69.1,235.882889,22.7,0.01,12.6,219.0,0.589,3.83
Bhutan,68.7,2422.816,21.9,0.01,12.3,223.0,0.581,3.7
Bhutan,68.3,2458.45976,21.1,0.23,11.9,225.0,0.572,4.73
Bhutan,67.9,2178.921383,2.3,0.28,11.4,228.0,0.0,5.17
Bhutan,67.4,177.234497,19.5,0.17,10.9,232.0,0.0,6.3
Bhutan,67.0,1795.18137,18.8,0.21,10.5,234.0,0.0,6.58
Bhutan,66.5,1741.142552,18.0,0.16,10.1,238.0,0.0,5.88
Bhutan,65.8,1335.45696,17.4,0.29,9.6,245.0,0.0,5.27
Bhutan,65.0,1247.61392,16.7,0.73,9.2,254.0,0.0,5.28
Bhutan,64.2,197.45788,16.1,0.96,8.8,263.0,0.0,4.41
Bhutan,63.3,997.7417141,15.5,0.52,8.4,273.0,0.0,4.9
Bhutan,62.5,885.6382245,14.9,0.29,8.0,282.0,0.0,7.75
Bhutan,61.7,87.9387673,14.4,0.14,7.6,29.0,0.0,5.91
Bhutan,62.0,765.8632358,13.9,0.17,7.3,312.0,0.0,6.91
Bolivia(PlurinationalStateof),77.0,,52.6,,13.8,186.0,0.671,
Bolivia(PlurinationalStateof),74.0,,51.9,3.62,13.8,189.0,0.666,6.33
Bolivia(PlurinationalStateof),71.0,,51.2,3.78,13.8,192.0,0.661,5.96
Bolivia(PlurinationalStateof),69.8,,5.6,3.89,13.8,194.0,0.655,5.56
Bolivia(PlurinationalStateof),69.3,,49.9,3.93,13.8,198.0,0.649,5.49
Bolivia(PlurinationalStateof),68.7,,49.3,3.95,13.8,22.0,0.643,5.44
Bolivia(PlurinationalStateof),68.0,,48.6,3.87,13.8,27.0,0.636,5.76
Bolivia(PlurinationalStateof),67.4,,48.0,3.77,14.0,211.0,0.632,5.0
Bolivia(PlurinationalStateof),66.8,,47.3,3.47,14.1,216.0,0.626,4.96
Bolivia(PlurinationalStateof),66.2,,46.7,3.23,14.3,219.0,0.625,5.19
Bolivia(PlurinationalStateof),65.7,,46.0,2.86,14.4,222.0,0.622,5.67
Bolivia(PlurinationalStateof),65.1,,45.4,2.66,14.6,226.0,0.62,5.22
Bolivia(PlurinationalStateof),64.5,,44.7,2.37,14.4,23.0,0.617,5.3
Bolivia(PlurinationalStateof),63.9,,44.0,2.26,14.0,234.0,0.61,6.53
Bolivia(PlurinationalStateof),63.3,,43.3,2.2,13.7,238.0,0.607,6.31
Bolivia(PlurinationalStateof),62.6,,42.6,2.32,13.3,243.0,0.6,5.67
BosniaandHerzegovina,77.4,4574.9787,55.8,,14.2,88.0,0.747,
BosniaandHerzegovina,77.2,5193.94932,55.3,4.03,14.2,89.0,0.742,9.57
BosniaandHerzegovina,77.0,535.86555,54.7,4.12,14.2,9.0,0.735,9.46
BosniaandHerzegovina,76.8,4716.673325,54.2,4.61,13.9,92.0,0.728,9.94
BosniaandHerzegovina,76.9,55.156834,53.7,4.64,13.4,92.0,0.711,9.71
BosniaandHerzegovina,76.4,4611.47298,53.1,4.54,13.3,94.0,0.717,9.58
BosniaandHerzegovina,76.1,4697.89732,52.6,4.75,13.3,97.0,0.716,9.64
BosniaandHerzegovina,76.0,575.31664,52.1,5.13,13.1,98.0,0.71,8.58
BosniaandHerzegovina,75.4,418.292176,51.5,5.16,12.9,16.0,0.703,8.37
BosniaandHerzegovina,75.7,344.321698,51.0,4.82,12.7,1.0,0.697,8.28
BosniaandHerzegovina,75.0,2968.41186,5.5,4.56,12.5,12.0,0.0,8.5
BosniaandHerzegovina,75.5,265.642661,49.9,4.25,12.3,99.0,0.0,9.4
BosniaandHerzegovina,75.2,2214.732246,49.4,4.14,12.1,12.0,0.0,7.94
BosniaandHerzegovina,75.4,1761.537647,48.8,3.84,11.9,11.0,0.0,7.1
BosniaandHerzegovina,74.9,1524.41222,48.2,3.85,11.6,113.0,0.0,7.16
BosniaandHerzegovina,74.6,1461.7552,47.6,3.64,0.0,116.0,0.0,7.9
Botswana,65.7,6532.651,37.9,,12.6,256.0,0.698,
Botswana,65.1,7497.762376,37.3,0.01,12.6,268.0,0.697,5.41
Botswana,64.2,77.625783,36.8,0.01,12.6,286.0,0.693,5.84
Botswana,63.4,729.231453,36.2,0.01,12.5,3.0,0.687,6.27
Botswana,62.2,7645.21469,35.7,5.76,12.4,325.0,0.678,5.25
Botswana,61.1,6346.15624,35.2,5.99,12.3,349.0,0.669,5.64
Botswana,59.2,5185.729845,34.7,5.01,12.2,393.0,0.661,6.39
Botswana,57.5,5623.379566,34.2,6.56,12.1,427.0,0.646,5.55
Botswana,56.9,5714.47937,33.7,6.21,12.1,436.0,0.63,4.71
Botswana,54.8,5374.554867,33.2,6.45,11.9,491.0,0.61,4.93
Botswana,51.7,5351.253732,32.7,6.37,11.9,566.0,0.593,5.62
Botswana,48.1,4896.583835,32.2,4.9,11.8,652.0,0.58,5.56
Botswana,46.4,4163.6596,31.6,5.51,11.8,693.0,0.567,4.65
Botswana,46.0,355.618382,31.1,6.41,11.9,699.0,0.558,6.47
Botswana,46.7,3128.97793,3.5,5.48,11.8,679.0,0.56,5.73
Botswana,47.8,3349.68823,29.9,5.37,11.7,647.0,0.559,4.64
Brazil,75.0,8757.2622,56.1,,15.2,142.0,0.754,
Brazil,74.8,1226.61731,55.3,7.32,15.2,144.0,0.747,8.32
