account number,name,sku,quantity,unit price,ext price,date
737550,"Fritsch, Russel and Anderson",S2-77896,41,38.43,1575.63,2014-01-16 22:39:11
672390,Kuhn-Gusikowski,B1-65551,17,50.83,864.11,2014-01-17 05:37:56
218895,Kulas Inc,S1-93683,43,21.72,933.96,2014-01-17 16:18:29
714466,Trantow-Barrows,B1-04202,16,91.09,1457.44,2014-01-17 18:01:31
604255,"Halvorson, Crona and Champlin",B1-65551,34,62.86,2137.24,2014-01-17 19:00:16
424914,White-Trantow,B1-53636,44,33.07,1455.08,2014-01-18 01:09:27
737550,"Fritsch, Russel and Anderson",S2-82423,13,24.98,324.74,2014-01-18 06:32:00
307599,"Kassulke, Ondricka and Metz",S2-10342,44,96.79,4258.76,2014-01-18 06:32:31
146832,Kiehn-Spinka,S1-93683,26,52.07,1353.82,2014-01-18 10:21:51
383080,Will LLC,S2-83881,35,93.37,3267.95,2014-01-18 11:01:58
146832,Kiehn-Spinka,S1-50961,39,17.72,691.08,2014-01-18 11:34:38
383080,Will LLC,S2-77896,14,23.95,335.3,2014-01-18 12:28:26
714466,Trantow-Barrows,S2-23246,49,73.5,3601.5,2014-01-18 18:30:58
146832,Kiehn-Spinka,S1-30248,1,31.17,31.17,2014-01-18 22:26:11
527099,Sanford and Sons,S1-47412,27,77.69,2097.63,2014-01-18 23:43:24
642753,Pollich LLC,S1-50961,3,20.27,60.81,2014-01-19 00:12:32
604255,"Halvorson, Crona and Champlin",S1-27722,34,88.99,3025.66,2014-01-19 10:16:20
729833,Koepp Ltd,S2-00301,9,56.32,506.88,2014-01-19 10:34:41
786968,"Frami, Hills and Schmidt",S1-27722,18,33.64,605.52,2014-01-19 11:45:51
786968,"Frami, Hills and Schmidt",B1-33087,22,79.82,1756.04,2014-01-19 21:53:06
412290,Jerde-Hilpert,S1-82801,16,18.96,303.36,2014-01-19 22:40:09
688981,Keeling LLC,B1-53102,13,64.38,836.94,2014-01-20 00:00:21
740150,Barton LLC,B1-50809,8,19.6,156.8,2014-01-20 01:48:47
672390,Kuhn-Gusikowski,S1-27722,3,36.97,110.91,2014-01-20 02:29:57
141962,Herman LLC,S2-34077,44,90.23,3970.12,2014-01-20 07:27:00
218895,Kulas Inc,S2-83881,41,78.27,3209.07,2014-01-20 09:37:58
383080,Will LLC,B1-33364,26,90.19,2344.94,2014-01-20 09:39:59
604255,"Halvorson, Crona and Champlin",S2-11481,37,96.71,3578.27,2014-01-20 13:07:28
740150,Barton LLC,B1-53102,1,68.06,68.06,2014-01-20 13:27:52
527099,Sanford and Sons,B1-05914,18,64.32,1157.76,2014-01-20 21:40:58
383080,Will LLC,B1-53636,37,14.4,532.8,2014-01-20 22:18:21
714466,Trantow-Barrows,S2-77896,48,37.8,1814.4,2014-01-21 05:05:38
218895,Kulas Inc,S2-16558,20,57.96,1159.2,2014-01-21 18:16:45
740150,Barton LLC,S2-16558,2,90.91,181.82,2014-01-21 21:21:01
383080,Will LLC,B1-33364,43,81.07,3486.01,2014-01-21 23:08:01
688981,Keeling LLC,B1-65551,22,22.03,484.66,2014-01-22 00:09:56
740150,Barton LLC,B1-86481,20,30.41,608.2,2014-01-22 16:33:51
786968,"Frami, Hills and Schmidt",S2-34077,16,14.01,224.16,2014-01-22 17:01:44
737550,"Fritsch, Russel and Anderson",B1-53102,34,99.48,3382.32,2014-01-22 22:00:08
218895,Kulas Inc,S1-93683,21,49.59,1041.39,2014-01-22 23:49:39
729833,Koepp Ltd,S2-11481,42,68.76,2887.92,2014-01-23 02:37:44
729833,Koepp Ltd,B1-05914,46,43.84,2016.64,2014-01-23 20:40:21
740150,Barton LLC,S1-06532,10,65.87,658.7,2014-01-24 00:00:35
163416,Purdy-Kunde,S1-47412,31,54.32,1683.92,2014-01-24 04:14:33
424914,White-Trantow,S2-78676,39,21.9,854.1,2014-01-24 08:40:53
527099,Sanford and Sons,S1-82801,38,78.91,2998.58,2014-01-24 14:15:55
218895,Kulas Inc,B1-86481,37,95.87,3547.19,2014-01-24 21:42:25
257198,"Cronin, Oberbrunner and Spencer",S2-16558,41,23.35,957.35,2014-01-25 23:53:42
642753,Pollich LLC,S2-83881,43,13.83,594.69,2014-01-26 07:13:58
672390,Kuhn-Gusikowski,B1-33087,18,90.34,1626.12,2014-01-26 08:34:03
239344,Stokes LLC,S2-82423,34,92.67,3150.78,2014-01-26 12:10:58
163416,Purdy-Kunde,B1-05914,35,85.87,3005.45,2014-01-26 20:08:00
737550,"Fritsch, Russel and Anderson",B1-65551,49,19.14,937.86,2014-01-27 01:59:54
412290,Jerde-Hilpert,S2-16558,27,11.77,317.79,2014-01-27 02:45:03
740150,Barton LLC,S1-47412,27,36.12,975.24,2014-01-27 05:48:37
141962,Herman LLC,B1-05914,30,80.49,2414.7,2014-01-27 07:26:02
141962,Herman LLC,S2-82423,40,50.87,2034.8,2014-01-27 15:18:08
688981,Keeling LLC,S2-83881,35,29.14,1019.9,2014-01-28 06:50:30
412290,Jerde-Hilpert,S2-23246,28,30.67,858.76,2014-01-28 08:27:19
688981,Keeling LLC,S1-65481,26,30.06,781.56,2014-01-28 10:44:14
424914,White-Trantow,S2-16558,42,68.86,2892.12,2014-01-28 15:12:03
737550,"Fritsch, Russel and Anderson",S1-65481,47,45.71,2148.37,2014-01-28 15:49:45
740150,Barton LLC,B1-33364,6,24.64,147.84,2014-01-28 16:28:29
604255,"Halvorson, Crona and Champlin",S2-83881,25,50.24,1256,2014-01-30 03:09:55
412290,Jerde-Hilpert,B1-53636,42,57.33,2407.86,2014-01-30 11:14:52
688981,Keeling LLC,B1-04202,27,98.66,2663.82,2014-01-30 22:54:49
383080,Will LLC,S2-11481,17,67.71,1151.07,2014-01-30 23:25:46
737550,"Fritsch, Russel and Anderson",S1-50961,1,34.81,34.81,2014-01-30 23:56:20
146832,Kiehn-Spinka,B1-53636,33,93.07,3071.31,2014-01-31 02:53:16
729833,Koepp Ltd,S2-16558,24,27.12,650.88,2014-01-31 19:43:49
383080,Will LLC,B1-05914,43,80.17,3447.31,2014-01-31 22:51:18
