account number,name,sku,quantity,unit price,ext price,date
257198,"Cronin, Oberbrunner and Spencer",S1-82801,46,25.66,1180.36,2014-02-09 05:16:26
141962,Herman LLC,B1-33087,27,31.42,848.34,2014-02-09 21:13:27
604255,"Halvorson, Crona and Champlin",S2-83881,19,82.23,1562.37,2014-02-09 22:04:34
163416,Purdy-Kunde,S1-06532,49,17.88,876.12,2014-02-10 05:46:15
412290,Jerde-Hilpert,S2-34077,-1,37.88,-37.88,2014-02-10 07:12:37
688981,Keeling LLC,B1-69924,5,49.93,249.65,2014-02-10 10:25:15
604255,"Halvorson, Crona and Champlin",B1-38851,46,70.65,3249.9,2014-02-10 17:26:42
412290,Jerde-Hilpert,S2-23246,3,73.82,221.46,2014-02-11 02:26:16
383080,Will LLC,B1-53102,45,89.22,4014.9,2014-02-11 04:14:09
604255,"Halvorson, Crona and Champlin",B1-53102,12,47.95,575.4,2014-02-11 04:29:40
604255,"Halvorson, Crona and Champlin",S1-47412,39,13.76,536.64,2014-02-11 08:28:17
257198,"Cronin, Oberbrunner and Spencer",B1-38851,47,42.82,2012.54,2014-02-11 15:33:17
163416,Purdy-Kunde,S1-93683,22,10.72,235.84,2014-02-11 17:43:36
257198,"Cronin, Oberbrunner and Spencer",B1-53636,32,42.76,1368.32,2014-02-11 21:35:57
740150,Barton LLC,S2-10342,47,96.68,4543.96,2014-02-12 03:36:52
740150,Barton LLC,B1-38851,3,79.49,238.47,2014-02-12 05:09:16
146832,Kiehn-Spinka,B1-53636,9,13.38,120.42,2014-02-12 13:17:28
527099,Sanford and Sons,S2-78676,25,64.82,1620.5,2014-02-12 14:33:26
218895,Kulas Inc,S2-78676,36,65.86,2370.96,2014-02-12 19:46:37
412290,Jerde-Hilpert,S2-78676,19,43.17,820.23,2014-02-13 12:35:26
424914,White-Trantow,S2-83881,42,88.4,3712.8,2014-02-13 18:40:29
163416,Purdy-Kunde,S2-16558,40,86.08,3443.2,2014-02-13 18:49:49
714466,Trantow-Barrows,S1-30248,30,71.02,2130.6,2014-02-14 02:16:18
257198,"Cronin, Oberbrunner and Spencer",B1-53102,11,86.26,948.86,2014-02-14 13:19:46
714466,Trantow-Barrows,S1-93683,25,46.09,1152.25,2014-02-14 18:30:23
714466,Trantow-Barrows,S2-77896,34,18.37,624.58,2014-02-14 20:29:47
239344,Stokes LLC,S2-83881,30,43,1290,2014-02-15 02:13:23
740150,Barton LLC,B1-20000,28,81.39,2278.92,2014-02-15 07:45:16
424914,White-Trantow,S1-93683,9,51.71,465.39,2014-02-15 14:15:43
257198,"Cronin, Oberbrunner and Spencer",S1-27722,28,10.21,285.88,2014-02-15 17:27:44
146832,Kiehn-Spinka,B1-53102,6,92.89,557.34,2014-02-16 03:32:36
218895,Kulas Inc,S2-82423,39,65.73,2563.47,2014-02-16 04:51:11
737550,"Fritsch, Russel and Anderson",S1-27722,15,70.23,1053.45,2014-02-16 18:24:42
424914,White-Trantow,B1-69924,23,95.27,2191.21,2014-02-17 11:25:25
740150,Barton LLC,B1-38851,17,81.22,1380.74,2014-02-17 17:12:16
672390,Kuhn-Gusikowski,S2-82423,36,79.02,2844.72,2014-02-18 01:44:52
141962,Herman LLC,B1-33364,44,25.37,1116.28,2014-02-18 13:55:44
424914,White-Trantow,B1-50809,40,30.27,1210.8,2014-02-18 18:12:16
424914,White-Trantow,S1-82801,13,43.88,570.44,2014-02-19 07:17:30
239344,Stokes LLC,B1-53102,6,66.49,398.94,2014-02-19 07:37:40
604255,"Halvorson, Crona and Champlin",S2-11481,8,74.26,594.08,2014-02-19 22:20:21
383080,Will LLC,B1-69924,33,95.39,3147.87,2014-02-20 06:16:53
714466,Trantow-Barrows,S1-65481,2,82.21,164.42,2014-02-20 11:45:25
527099,Sanford and Sons,S2-10342,25,88.2,2205,2014-02-20 14:31:09
737550,"Fritsch, Russel and Anderson",S2-34077,26,93.35,2427.1,2014-02-20 18:45:43
163416,Purdy-Kunde,B1-65551,9,48.28,434.52,2014-02-21 04:32:17
737550,"Fritsch, Russel and Anderson",S1-93683,31,10.52,326.12,2014-02-21 13:55:45
729833,Koepp Ltd,B1-04202,2,25.98,51.96,2014-02-21 14:08:11
257198,"Cronin, Oberbrunner and Spencer",B1-53636,47,50.4,2368.8,2014-02-21 20:25:35
786968,"Frami, Hills and Schmidt",B1-20000,28,89.59,2508.52,2014-02-21 22:09:42
527099,Sanford and Sons,S1-65481,4,61.28,245.12,2014-02-22 06:43:14
141962,Herman LLC,B1-38851,20,72.88,1457.6,2014-02-22 16:39:09
688981,Keeling LLC,B1-38851,40,51.03,2041.2,2014-02-22 17:44:09
218895,Kulas Inc,B1-33087,47,59.7,2805.9,2014-02-22 20:44:27
257198,"Cronin, Oberbrunner and Spencer",S1-47412,43,96.8,4162.4,2014-02-23 14:26:24
786968,"Frami, Hills and Schmidt",S1-93683,33,48.97,1616.01,2014-02-23 19:12:27
257198,"Cronin, Oberbrunner and Spencer",B1-33087,23,58.28,1340.44,2014-02-24 05:24:50
737550,"Fritsch, Russel and Anderson",S2-82423,46,67.67,3112.82,2014-02-24 08:35:31
740150,Barton LLC,B1-33087,35,93.25,3263.75,2014-02-25 02:55:39
239344,Stokes LLC,S1-82801,43,35.75,1537.25,2014-02-25 07:32:19
604255,"Halvorson, Crona and Champlin",B1-86481,9,62.64,563.76,2014-02-25 15:25:38
146832,Kiehn-Spinka,S1-50961,11,35.48,390.28,2014-02-26 02:24:32
141962,Herman LLC,B1-69924,21,95,1995,2014-02-26 19:08:02
383080,Will LLC,S2-23246,47,10.93,513.71,2014-02-26 20:41:02
383080,Will LLC,B1-20000,4,35.04,140.16,2014-02-26 23:56:15
672390,Kuhn-Gusikowski,S1-93683,10,34.96,349.6,2014-02-27 02:58:58
424914,White-Trantow,S1-93683,-1,25.01,-25.01,2014-02-27 10:32:25
383080,Will LLC,S1-93683,41,97.29,3988.89,2014-02-27 14:54:11
714466,Trantow-Barrows,S2-11481,46,39.61,1822.06,2014-02-27 16:12:51
740150,Barton LLC,S1-30248,21,14.05,295.05,2014-02-28 02:29:03
218895,Kulas Inc,B1-69924,44,72.43,3186.92,2014-02-28 08:42:56
383080,Will LLC,B1-53102,6,32.8,196.8,2014-02-28 17:35:23
688981,Keeling LLC,S2-23246,18,64.71,1164.78,2014-02-28 23:21:04
642753,Pollich LLC,B1-04202,8,95.86,766.88,2014-02-28 23:47:32
