no,who,Newbie,Age,Gender,Household Income,Sexual Preference,Country,Education Attainment,Major Occupation,Marital Status,Years on Internet
22,id87151,0,24.0,Male,$30-39,Heterosexual,Australia,Some College,Education,Single,1-3 yr
23,id89679,0,27.0,Male,$20-29,Heterosexual,California,Masters,Computer,Single,1-3 yr
24,id72605,0,15.0,Male,,Heterosexual,Iowa,High School,Education,Single,1-3 yr
25,id80272,0,31.0,Male,,Heterosexual,California,College,Computer,Single,Over 7 yr
26,id84535,0,37.0,Female,$50-74,Heterosexual,Arizona,College,Computer,Married,1-3 yr
27,id82732,0,28.0,Male,$20-29,Heterosexual,California,Doctoral,Professional,Single,Over 7 yr
28,id74703,0,23.0,Female,$20-29,Heterosexual,Ohio,Some College,Computer,Single,1-3 yr
29,id77419,0,50.0,Female,Over $100,Heterosexual,Pennsylvania,College,Computer,Married,4-6 yr
30,id79513,0,38.0,Male,$75-99,Transgender,California,College,Computer,Single,Over 7 yr
31,id80149,0,23.0,Male,$50-74,Heterosexual,United Kingdom,Masters,Computer,Other,4-6 yr
32,id89887,0,48.0,Male,$50-74,,Wisconsin,Some College,Computer,Married,1-3 yr
33,id74862,0,30.0,Male,$50-74,Heterosexual,France,College,Computer,Single,1-3 yr
34,id72593,0,42.0,Male,$50-74,Heterosexual,Hong Kong,College,Management,Married,1-3 yr
35,id84537,0,32.0,Male,$50-74,Heterosexual,Washington,Special,Computer,Married,1-3 yr
36,id88487,0,48.0,Female,$40-49,Heterosexual,Washington,College,Computer,Divorced,4-6 yr
37,id72602,0,26.0,Male,$40-49,Heterosexual,Washington,Doctoral,Computer,Single,Over 7 yr
38,id78506,0,20.0,Male,$10-19,Gay male,Florida,Some College,Education,Other,4-6 yr
39,id72609,0,42.0,Female,,Heterosexual,Florida,Special,Professional,Divorced,1-3 yr
40,id76937,0,27.0,Male,$50-74,Heterosexual,Florida,Masters,Professional,Married,4-6 yr
41,id88303,0,26.0,Male,$75-99,Heterosexual,United Kingdom,Some College,Computer,Married,1-3 yr
42,id7274,0,,Female,,Heterosexual,California,Masters,Professional,Single,4-6 yr
43,id84540,0,54.0,Female,$75-99,Heterosexual,New York,Doctoral,Education,Married,1-3 yr
44,id84981,0,34.0,Male,$20-29,Gay male,Texas,Some College,Professional,Other,1-3 yr
45,id72903,0,47.0,Male,$20-29,,Florida,Some College,Management,Married,1-3 yr
46,id84541,0,63.0,Male,$30-39,Heterosexual,Texas,Professional,Professional,Married,1-3 yr
47,id72509,0,27.0,Male,$10-19,Heterosexual,Georgia,College,Education,Married,4-6 yr
48,id79696,0,19.0,Female,Over $100,Heterosexual,Missouri,Some College,Education,Single,1-3 yr
49,id84378,0,26.0,Female,$40-49,Heterosexual,Georgia,Masters,Management,Single,1-3 yr
50,id71691,0,28.0,Male,$50-74,Heterosexual,Oregon,Masters,Computer,Married,Over 7 yr
51,id73188,1,22.0,Male,Under $10,Heterosexual,Brazil,College,Education,Single,Under 6 mo
52,id72093,1,30.0,Female,$40-49,Heterosexual,Maryland,College,Education,Other,Under 6 mo
53,id81989,0,28.0,Female,,Heterosexual,Canada & Mexico,College,Computer,Other,4-6 yr
54,id85442,0,27.0,Male,$20-29,Heterosexual,Michigan,Masters,Management,Single,Over 7 yr
55,id88928,1,25.0,Male,$20-29,Heterosexual,Ontario,Special,Management,Other,6-12 mo
56,id73058,1,39.0,Male,$40-49,Heterosexual,Nebraska,Some College,Other,Divorced,Under 6 mo
57,id82129,0,21.0,Male,,Heterosexual,Ohio,Some College,Computer,Single,Over 7 yr
58,id77028,0,48.0,Female,,Heterosexual,Pennsylvania,Doctoral,Professional,Married,4-6 yr
59,id86358,0,33.0,Male,$75-99,Heterosexual,Pennsylvania,Professional,Professional,Married,1-3 yr
60,id85928,0,22.0,Male,Under $10,Heterosexual,California,Some College,Education,Single,1-3 yr
61,id87370,1,24.0,Male,$50-74,Heterosexual,California,Some College,Other,Single,6-12 mo
62,id87870,0,34.0,Male,$50-74,Heterosexual,Illinois,Masters,Computer,Married,4-6 yr
63,id87895,0,39.0,Male,$30-39,Heterosexual,Massachusetts,Special,Computer,Married,Over 7 yr
64,id72615,0,32.0,Female,Over $100,Heterosexual,Georgia,College,Computer,Married,1-3 yr
65,id84547,1,33.0,Male,$10-19,Heterosexual,Colombia,Masters,Professional,Married,6-12 mo
66,id72892,0,19.0,Male,Over $100,Heterosexual,France,College,Computer,Single,4-6 yr
67,id84557,1,19.0,Male,Under $10,Heterosexual,Massachusetts,Some College,Education,Single,6-12 mo
68,id11620,0,24.0,Male,$40-49,Heterosexual,Texas,Some College,Professional,Married,1-3 yr
69,id82938,0,43.0,Male,$50-74,Heterosexual,Pennsylvania,College,Professional,Married,4-6 yr
70,id89921,0,35.0,Female,$30-39,Heterosexual,Florida,High School,Other,Married,1-3 yr
71,id82644,0,41.0,Male,Over $100,Heterosexual,Washington D.C.,Doctoral,Education,Married,4-6 yr
72,id81660,0,24.0,Male,$10-19,Heterosexual,Georgia,College,Computer,Single,4-6 yr
73,id85742,0,47.0,Male,$50-74,Heterosexual,Oklahoma,Some College,Professional,Married,1-3 yr
74,id603,0,26.0,Female,$20-29,Heterosexual,United Kingdom,College,Professional,Single,1-3 yr
75,id77753,0,28.0,Male,$75-99,Heterosexual,Quebec,College,Computer,Single,1-3 yr
76,id87418,1,25.0,Female,$30-39,Bisexual,Hawaii,Some College,Other,Single,6-12 mo
77,id89551,1,20.0,Male,$30-39,Heterosexual,California,Some College,Education,Single,6-12 mo
78,id87871,0,54.0,Male,Over $100,Heterosexual,Hawaii,Professional,Computer,Married,1-3 yr
79,id87901,1,47.0,Male,,Heterosexual,Illinois,College,Computer,Married,6-12 mo
80,id84567,0,49.0,Female,$40-49,Heterosexual,Wisconsin,Some College,Computer,Divorced,1-3 yr
81,id73540,1,35.0,Male,$10-19,Heterosexual,New York,Special,Other,Other,6-12 mo
82,id73961,0,28.0,Male,$50-74,Heterosexual,Australia,College,Professional,Single,Over 7 yr
83,id79046,0,32.0,Male,$20-29,Heterosexual,California,Some College,Computer,Married,4-6 yr
84,id47779,1,23.0,Female,$20-29,Heterosexual,California,Special,Professional,Single,Under 6 mo
85,id79712,0,31.0,Male,$30-39,Heterosexual,Texas,College,Computer,Married,Over 7 yr
86,id83401,0,20.0,Male,Over $100,Heterosexual,Ohio,Some College,Education,Single,4-6 yr
87,id90041,0,28.0,Male,Under $10,Heterosexual,United Kingdom,Masters,Education,Single,4-6 yr
88,id84580,0,20.0,Male,Under $10,Heterosexual,Pennsylvania,Some College,Education,Single,4-6 yr
89,id71698,1,36.0,Male,$30-39,Heterosexual,Oklahoma,College,Other,Married,Under 6 mo
90,id43480,0,25.0,Male,$20-29,Heterosexual,Indiana,College,Computer,Married,4-6 yr
91,id80153,0,30.0,Male,$50-74,Heterosexual,Texas,College,Computer,Married,Over 7 yr
92,id81666,0,27.0,Male,$20-29,Bisexual,Germany,Some College,Professional,Single,4-6 yr
93,id84569,0,29.0,Female,$30-39,Heterosexual,British Columbia,Some College,Management,Single,1-3 yr
94,id84570,1,59.0,Female,,Heterosexual,Arizona,Some College,Other,Married,Under 6 mo
95,id78720,0,32.0,Female,Over $100,Heterosexual,Missouri,Masters,Professional,Married,1-3 yr
96,id86859,1,29.0,Female,$10-19,Heterosexual,Montana,Special,Management,Widowed,Under 6 mo
97,id76079,0,31.0,Male,$50-74,Heterosexual,Kentucky,College,Other,Married,4-6 yr
98,id77710,0,,Male,,,Massachusetts,Masters,Management,Married,1-3 yr
99,id79099,0,28.0,Female,$50-74,Heterosexual,Massachusetts,Other,Education,Married,1-3 yr
100,id81743,0,44.0,Female,Over $100,Heterosexual,California,College,Computer,Married,Over 7 yr
101,id84526,0,40.0,Male,$40-49,Heterosexual,Minnesota,Masters,Education,Single,1-3 yr
102,id71525,1,41.0,Male,$50-74,Heterosexual,United Kingdom,Doctoral,Computer,Married,6-12 mo
103,id88014,1,39.0,Male,$50-74,Heterosexual,Ontario,High School,Computer,Married,6-12 mo
104,id82471,0,20.0,Male,Over $100,Heterosexual,Pennsylvania,Some College,Education,Single,1-3 yr
105,id73859,0,32.0,Female,$40-49,Heterosexual,Missouri,Masters,Education,Other,4-6 yr
106,id79324,0,60.0,Male,$40-49,Heterosexual,California,Some College,Other,Married,1-3 yr
107,id78931,0,23.0,Male,Under $10,Heterosexual,California,Some College,Education,Single,4-6 yr
108,id89799,0,35.0,Male,Over $100,Heterosexual,California,College,Management,Married,1-3 yr
109,id73962,0,23.0,Male,$20-29,Heterosexual,Israel,College,Professional,Married,4-6 yr
110,id87902,1,39.0,Male,,Heterosexual,New York,College,Other,Single,6-12 mo
111,id77398,1,47.0,Male,$40-49,Heterosexual,Georgia,College,Computer,Married,Under 6 mo
112,id74774,0,46.0,Female,$75-99,Heterosexual,Iowa,Some College,Management,Married,1-3 yr
113,id82415,0,28.0,Male,$50-74,Heterosexual,Colorado,College,Management,Married,4-6 yr
114,id84093,1,45.0,Male,$50-74,Heterosexual,New York,Some College,Professional,Married,6-12 mo
115,id88723,0,52.0,Male,$50-74,Heterosexual,Alaska,Masters,Education,Married,Over 7 yr
116,id11947,0,50.0,Male,,na,Virginia,Doctoral,Professional,Married,4-6 yr
117,id81966,1,45.0,Male,$50-74,Heterosexual,Pennsylvania,Some College,Other,Married,6-12 mo
118,id88720,0,20.0,Male,$20-29,Heterosexual,Nova Scotia,Some College,Education,Single,1-3 yr
119,id80138,0,52.0,Male,,Heterosexual,Massachusetts,College,Professional,,Over 7 yr
120,id85580,0,32.0,Male,$50-74,Heterosexual,Massachusetts,College,Computer,Single,Over 7 yr
121,id83890,1,48.0,Female,$20-29,Heterosexual,Ontario,Some College,Computer,Married,6-12 mo
122,id54517,0,33.0,Female,$50-74,Heterosexual,Texas,Masters,Professional,Single,4-6 yr
123,id89821,1,57.0,Male,$20-29,Heterosexual,Pennsylvania,Some College,Other,Married,Under 6 mo
124,id73749,1,45.0,Male,$75-99,Heterosexual,Hawaii,Masters,Professional,Married,6-12 mo
125,id83723,1,33.0,Male,$30-39,Heterosexual,Pennsylvania,College,Management,Single,6-12 mo
126,id88482,1,30.0,Male,$20-29,Heterosexual,Kentucky,Some College,Education,Single,Under 6 mo
127,id89822,1,52.0,Male,$50-74,Heterosexual,New York,College,Education,Married,6-12 mo
128,id81674,0,30.0,Male,$50-74,Heterosexual,Washington,College,Computer,Married,Over 7 yr
129,id86582,1,54.0,Male,$50-74,Heterosexual,Wisconsin,High School,Other,Married,Under 6 mo
130,id89581,0,56.0,Male,$50-74,Heterosexual,Alaska,Some College,Management,Married,1-3 yr
131,id77390,0,37.0,Male,Under $10,Heterosexual,Romania,Masters,Computer,Married,1-3 yr
132,id21985,0,17.0,Male,$75-99,Heterosexual,Michigan,Other,Education,Single,4-6 yr
133,id83986,0,19.0,Female,,Heterosexual,New York,Some College,Education,Single,1-3 yr
134,id85857,0,17.0,Male,$40-49,Heterosexual,Missouri,High School,Education,Single,1-3 yr
135,id43713,0,24.0,Male,$40-49,Heterosexual,Norway,College,Computer,Other,4-6 yr
136,id89872,0,45.0,Male,$75-99,Heterosexual,Louisiana,College,Computer,Married,Over 7 yr
137,id6172,0,28.0,Male,$10-19,Heterosexual,Oklahoma,Some College,Computer,Single,4-6 yr
138,id76082,0,42.0,Male,,Heterosexual,Texas,Some College,Professional,Married,1-3 yr
139,id79426,1,23.0,Female,$40-49,Heterosexual,Alberta,College,Professional,Married,Under 6 mo
140,id81977,0,29.0,Male,$20-29,Heterosexual,West Virginia,Masters,Professional,Divorced,4-6 yr
141,id89845,0,25.0,Female,$20-29,Heterosexual,Maryland,College,Computer,Single,1-3 yr
142,id74135,1,16.0,Male,,Heterosexual,Pennsylvania,High School,Education,Single,Under 6 mo
143,id81982,0,22.0,Male,Under $10,Heterosexual,Illinois,College,Education,Single,1-3 yr
144,id89850,0,30.0,Male,$40-49,Gay male,Alberta,College,Management,Other,1-3 yr
145,id81991,0,35.0,Male,$50-74,Heterosexual,Canada & Mexico,Special,Management,Married,4-6 yr
146,id75867,0,30.0,Male,$50-74,Heterosexual,Alberta,Masters,Professional,Married,Over 7 yr
147,id79329,0,9.0,Female,,Heterosexual,Arkansas,Other,Education,Single,1-3 yr
148,id83891,0,28.0,Female,$20-29,Bisexual,New York,Some College,Education,Other,1-3 yr
149,id85858,0,64.0,Male,$50-74,Heterosexual,Virginia,College,Professional,Married,4-6 yr
150,id87029,0,30.0,Male,$20-29,Heterosexual,Netherlands,Other,Computer,Single,1-3 yr
151,id84010,1,34.0,Female,$75-99,Heterosexual,Kentucky,College,Professional,Married,6-12 mo
152,id73231,0,14.0,Male,,Heterosexual,California,Grammar,Education,Single,1-3 yr
153,id81995,0,32.0,Female,,Heterosexual,California,College,Computer,Single,1-3 yr
154,id10788,0,36.0,Male,$50-74,Heterosexual,California,Masters,Professional,Single,1-3 yr
155,id75161,0,38.0,Male,$50-74,,Germany,Masters,Computer,Married,4-6 yr
156,id76086,1,20.0,Male,$10-19,Heterosexual,Ohio,Some College,Management,Single,Under 6 mo
157,id76090,0,48.0,Male,$75-99,Heterosexual,New Hampshire,College,Management,Married,1-3 yr
158,id78585,1,45.0,Male,$50-74,Heterosexual,North Carolina,Some College,Other,Married,Under 6 mo
159,id71782,0,38.0,Male,Over $100,Heterosexual,Florida,College,Professional,Married,1-3 yr
160,id83203,0,,Male,,Heterosexual,Louisiana,College,Professional,Married,1-3 yr
161,id76092,1,28.0,Female,$30-39,Heterosexual,Ontario,High School,Education,Single,Under 6 mo
162,id87420,0,22.0,Female,$40-49,Transgender,British Columbia,Some College,Computer,Single,4-6 yr
163,id74776,1,59.0,Male,$50-74,Heterosexual,New Hampshire,Masters,Professional,Married,Under 6 mo
164,id76098,0,47.0,Female,$50-74,Heterosexual,Illinois,Masters,Professional,Divorced,4-6 yr
165,id79401,0,18.0,Male,Under $10,Heterosexual,California,High School,Education,Single,1-3 yr
166,id76657,0,28.0,Male,,Heterosexual,Russia,Masters,Education,Single,1-3 yr
167,id90159,0,44.0,Female,,Heterosexual,North Carolina,College,Other,Married,4-6 yr
168,id79509,0,42.0,Male,$75-99,Heterosexual,Nevada,High School,Computer,Single,Over 7 yr
169,id82002,0,39.0,Male,$30-39,Heterosexual,Washington,Some College,Computer,Married,1-3 yr
170,id85672,1,33.0,Male,Over $100,Heterosexual,California,College,Management,Married,6-12 mo
171,id73111,0,52.0,Female,$75-99,Heterosexual,Michigan,Some College,Computer,Married,1-3 yr
172,id89385,0,24.0,Male,,Heterosexual,New York,Masters,Computer,Single,Over 7 yr
173,id74601,0,52.0,Female,$50-74,Heterosexual,Illinois,College,Management,Divorced,1-3 yr
174,id84588,0,39.0,Male,$75-99,Heterosexual,Nova Scotia,College,Management,Married,1-3 yr
175,id74717,0,32.0,Male,,Heterosexual,Washington,College,Computer,Married,1-3 yr
176,id90178,0,36.0,Male,$30-39,Heterosexual,Washington,High School,Other,Married,1-3 yr
177,id90061,0,21.0,Male,$20-29,Heterosexual,Wisconsin,Some College,Computer,Single,4-6 yr
178,id76102,0,19.0,Male,,Heterosexual,New York,High School,Education,Single,1-3 yr
179,id60321,0,37.0,Male,$20-29,Heterosexual,Alberta,College,Computer,Married,4-6 yr
180,id82459,0,28.0,Male,$30-39,Heterosexual,California,Some College,Computer,Single,4-6 yr
181,id74885,0,29.0,Male,$20-29,Heterosexual,Australia,Masters,Computer,Single,1-3 yr
182,id88939,0,25.0,Female,,Heterosexual,Italy,Some College,Education,Single,1-3 yr
183,id82648,0,28.0,Male,$50-74,Heterosexual,New Mexico,College,Education,Single,1-3 yr
184,id71307,0,32.0,Female,,Heterosexual,Illinois,Masters,Education,Single,1-3 yr
185,id75257,0,25.0,Female,$30-39,Heterosexual,Maine,College,Professional,Married,4-6 yr
186,id82016,0,23.0,Male,Under $10,Heterosexual,Austria,College,Education,Single,1-3 yr
187,id84572,0,62.0,Male,Over $100,Heterosexual,California,College,Computer,Married,Over 7 yr
188,id85912,0,25.0,Female,$75-99,Heterosexual,Georgia,College,Computer,Married,1-3 yr
189,id71311,0,34.0,Female,$20-29,Lesbian,Ohio,Some College,Management,Other,1-3 yr
190,id71313,0,31.0,Male,$40-49,Heterosexual,New Jersey,Some College,Computer,Married,1-3 yr
191,id72386,0,24.0,Male,$50-74,Heterosexual,Singapore,Some College,Education,Single,1-3 yr
192,id82260,0,18.0,Male,,Heterosexual,Mozambique,High School,Education,Single,1-3 yr
193,id76108,1,35.0,Female,$40-49,Heterosexual,Massachusetts,Some College,Professional,Divorced,Under 6 mo
194,id80613,0,31.0,Female,Over $100,Bisexual,Iowa,College,Professional,Married,Over 7 yr
195,id71323,0,37.0,Male,$50-74,Heterosexual,Canada & Mexico,Some College,Computer,Other,1-3 yr
196,id71324,1,38.0,Female,$50-74,Heterosexual,Pennsylvania,College,Computer,Married,Under 6 mo
197,id71325,0,51.0,Male,Over $100,Heterosexual,Florida,Some College,Management,Married,1-3 yr
198,id71326,0,39.0,Female,Over $100,Heterosexual,Michigan,College,Professional,Married,4-6 yr
199,id71327,0,30.0,Female,,Heterosexual,Georgia,Masters,Professional,Married,1-3 yr
200,id88489,0,43.0,Female,$30-39,Heterosexual,Florida,High School,Computer,Married,1-3 yr
201,id71328,0,32.0,Female,$50-74,Heterosexual,Other,College,Professional,Single,1-3 yr
202,id71329,0,29.0,Male,$40-49,Heterosexual,Indiana,Masters,Professional,Other,1-3 yr
203,id71330,0,32.0,Male,$40-49,Gay male,Washington,Professional,Professional,Other,1-3 yr
204,id76599,0,27.0,Male,$50-74,Heterosexual,Illinois,College,Education,Married,1-3 yr
205,id76679,0,27.0,Male,$50-74,Heterosexual,Wyoming,Some College,Computer,Married,1-3 yr
206,id79337,1,37.0,Female,$30-39,Heterosexual,Ohio,High School,Computer,Divorced,Under 6 mo
207,id71334,1,45.0,Female,Over $100,Heterosexual,Malaysis,College,Professional,Married,Under 6 mo
208,id71335,0,40.0,Male,$50-74,Heterosexual,North Carolina,Special,Education,Married,1-3 yr
209,id71337,0,46.0,Male,,Heterosexual,Georgia,Some College,Other,Married,1-3 yr
210,id86801,0,26.0,Male,$10-19,Heterosexual,Indiana,Other,Professional,Single,1-3 yr
211,id71340,0,45.0,Female,Under $10,Heterosexual,Oklahoma,Some College,Education,Divorced,1-3 yr
212,id74345,1,40.0,Male,$50-74,Heterosexual,Michigan,Some College,Other,Married,6-12 mo
213,id76110,0,24.0,Male,$10-19,Gay male,Colorado,Some College,Education,Single,1-3 yr
214,id72638,1,27.0,Female,$30-39,Heterosexual,Pennsylvania,Some College,Education,Married,Under 6 mo
215,id78100,0,27.0,Male,$30-39,Heterosexual,Texas,College,Computer,Single,1-3 yr
216,id89871,0,24.0,Male,$40-49,Heterosexual,France,Masters,Computer,Single,1-3 yr
217,id81867,0,36.0,Male,$50-74,Heterosexual,Iowa,Masters,Management,Married,1-3 yr
218,id71347,0,27.0,Male,$40-49,Gay male,Kentucky,College,Management,Other,1-3 yr
219,id75221,0,27.0,Male,$20-29,Heterosexual,Texas,Some College,Professional,Married,1-3 yr
220,id76955,1,38.0,Female,$75-99,Heterosexual,New Jersey,Some College,Management,Married,6-12 mo
221,id82022,0,41.0,Female,$40-49,Heterosexual,Australia,Some College,Computer,Single,1-3 yr
222,id82023,0,39.0,Male,,,Massachusetts,Masters,Computer,Married,4-6 yr
223,id71350,1,50.0,Male,$10-19,Heterosexual,Louisiana,Some College,Management,Widowed,6-12 mo
224,id71355,0,27.0,Female,$50-74,,North Carolina,College,Management,Other,1-3 yr
225,id82649,0,30.0,Female,$10-19,Heterosexual,California,Masters,Other,Married,4-6 yr
226,id90064,0,22.0,Male,$40-49,Heterosexual,Illinois,Some College,Professional,Single,1-3 yr
227,id71359,1,,Female,,Heterosexual,Missouri,Some College,Other,Divorced,6-12 mo
228,id71719,0,20.0,Male,$30-39,Bisexual,Australia,College,Computer,Single,1-3 yr
229,id71364,1,57.0,Male,$50-74,Heterosexual,Illinois,Special,Computer,Married,6-12 mo
230,id71413,0,24.0,Male,,Heterosexual,Belgium,Masters,Education,Married,1-3 yr
231,id74997,0,18.0,Male,$10-19,Heterosexual,Florida,High School,Computer,Single,1-3 yr
232,id71367,0,21.0,Female,,,Oregon,Some College,Other,Single,4-6 yr
233,id71369,0,31.0,Female,$20-29,Heterosexual,California,College,Education,Married,Over 7 yr
234,id7673,1,47.0,Male,$40-49,Heterosexual,Ohio,Special,Computer,Married,6-12 mo
235,id71372,0,15.0,Female,$40-49,Heterosexual,Australia,High School,Education,Single,1-3 yr
236,id1672,0,36.0,Female,Over $100,Heterosexual,California,College,Computer,Divorced,Over 7 yr
237,id75567,0,40.0,Male,Over $100,Heterosexual,California,Masters,Professional,Married,1-3 yr
238,id71373,0,55.0,Male,$75-99,Heterosexual,California,Doctoral,Professional,Married,1-3 yr
239,id85940,0,37.0,Male,$30-39,Gay male,Michigan,Doctoral,Education,Single,Over 7 yr
240,id71378,1,23.0,Male,Under $10,Heterosexual,Alabama,Some College,Education,Single,6-12 mo
241,id71492,1,51.0,Male,$30-39,Heterosexual,Virginia,College,Other,Divorced,Under 6 mo
242,id81786,0,43.0,Male,Under $10,Heterosexual,Tennessee,Some College,Computer,Married,4-6 yr
243,id74007,0,42.0,Male,,Heterosexual,Hawaii,College,Computer,Married,Over 7 yr
244,id79566,0,54.0,Male,$75-99,Heterosexual,Maryland,Some College,Management,Married,1-3 yr
245,id84597,0,23.0,Male,$20-29,Heterosexual,Sweden,College,Computer,Single,Over 7 yr
246,id71390,0,26.0,Female,$75-99,Heterosexual,Georgia,College,Other,Married,1-3 yr
247,id71391,0,60.0,Male,$50-74,Heterosexual,Michigan,Professional,Professional,Married,1-3 yr
248,id71766,0,27.0,Male,,Heterosexual,Illinois,Professional,Education,Single,4-6 yr
249,id79434,1,46.0,Female,Over $100,Heterosexual,Illinois,College,Management,Married,6-12 mo
250,id71392,1,34.0,Female,$10-19,Lesbian,New Hampshire,Masters,Other,Single,6-12 mo
251,id81877,1,31.0,Male,$20-29,,California,College,Professional,Single,6-12 mo
252,id83381,0,31.0,Male,,,Maryland,College,Computer,Single,Over 7 yr
253,id71394,0,50.0,Female,$50-74,Heterosexual,Maryland,College,Professional,Other,1-3 yr
254,id71395,0,49.0,Female,$75-99,Heterosexual,Hawaii,Doctoral,Professional,Married,1-3 yr
255,id81697,0,55.0,Female,$10-19,Heterosexual,New York,Masters,Education,Divorced,1-3 yr
256,id81878,0,35.0,Male,$40-49,Heterosexual,British Columbia,College,Computer,Single,1-3 yr
257,id84599,0,53.0,Male,$75-99,Heterosexual,California,Some College,Other,Other,1-3 yr
258,id84607,0,16.0,Male,,Heterosexual,Pennsylvania,Grammar,Education,Single,Over 7 yr
259,id71399,1,52.0,Male,$75-99,Heterosexual,Virginia,Masters,Professional,Married,Under 6 mo
260,id77416,0,32.0,Male,,Heterosexual,California,Masters,Computer,Single,4-6 yr
261,id73978,0,27.0,Male,$50-74,Gay male,Colorado,Some College,Other,Other,1-3 yr
262,id75871,0,39.0,Female,,Heterosexual,Illinois,Some College,Computer,,1-3 yr
263,id84612,0,34.0,Male,Over $100,Heterosexual,Texas,Doctoral,Professional,Married,4-6 yr
264,id74769,0,21.0,Male,Under $10,,Russia,College,Computer,Single,1-3 yr
265,id77418,1,42.0,Male,$50-74,,Hong Kong,Masters,Management,Married,6-12 mo
266,id85903,0,29.0,Male,$40-49,Gay male,Arkansas,College,Management,Single,4-6 yr
267,id85904,0,24.0,Male,$20-29,Heterosexual,Kansas,College,Professional,Single,1-3 yr
268,id84618,0,19.0,Male,$50-74,Heterosexual,Arizona,Some College,Education,Single,1-3 yr
269,id84614,0,25.0,Male,Under $10,Heterosexual,Pennsylvania,College,Education,Single,Over 7 yr
270,id79343,1,39.0,Male,$50-74,Heterosexual,Alabama,Other,Other,Married,6-12 mo
271,id84139,0,24.0,Male,$30-39,Heterosexual,Utah,Some College,Computer,Single,1-3 yr
272,id88086,0,40.0,Male,$75-99,Heterosexual,Canada & Mexico,Masters,Computer,Married,Over 7 yr
273,id89443,0,45.0,Male,$50-74,Heterosexual,Netherlands,Masters,Computer,Married,Over 7 yr
274,id77160,0,57.0,Male,$50-74,Heterosexual,Massachusetts,Masters,Education,Married,Over 7 yr
275,id81108,0,51.0,Male,$40-49,Heterosexual,Alberta,High School,Other,Married,1-3 yr
276,id72650,0,51.0,Male,,Heterosexual,Missouri,Masters,Education,Married,1-3 yr
277,id72651,0,29.0,Male,$75-99,Heterosexual,Australia,Masters,Education,Married,1-3 yr
278,id89981,0,,Male,,,Pennsylvania,College,Computer,Married,4-6 yr
279,id86203,1,37.0,Male,$30-39,Heterosexual,Ontario,Special,Professional,Married,Under 6 mo
280,id74378,0,43.0,Male,$75-99,Heterosexual,California,Masters,Computer,Married,1-3 yr
281,id82401,0,50.0,Female,Over $100,Heterosexual,Maryland,Masters,Education,Married,1-3 yr
282,id79351,0,23.0,Male,Under $10,Heterosexual,New York,Special,Computer,Single,4-6 yr
283,id79826,0,25.0,Female,$30-39,Heterosexual,Washington D.C.,Masters,Computer,Single,Over 7 yr
284,id82709,0,44.0,Male,,Heterosexual,Massachusetts,Masters,Computer,Single,4-6 yr
285,id83884,0,35.0,Female,$20-29,Heterosexual,Minnesota,Special,Management,Divorced,1-3 yr
286,id82194,1,36.0,Female,Under $10,Heterosexual,Montana,Some College,Education,Married,Under 6 mo
287,id79101,0,36.0,Male,$75-99,Heterosexual,Mississippi,Professional,Professional,Married,1-3 yr
